image_path,label
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/63.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/B1714420.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804741-1.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804701-11.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1800884-1.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804589-20.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1800774-2.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804580-4.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/B1714765-2(1).JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1800982-2.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1615152.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1805784｣ｨ3｣ｩ.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1800790-2.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1801066-1.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1800491-2.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/B1714055-3.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1803300.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1803309｣ｨ2｣ｩ.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1803931｣ｨ2｣ｩ.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1800938-1.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1800670-2.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804580-5.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/B1714578(2).JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/B1714057-1.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1805229.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1805817｣ｨ2｣ｩ.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804589-21.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1800966-2.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/185401.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804701-10.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/B1714686(3).JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804579-1.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1805415｣ｨ2｣ｩ.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/62.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/60.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/48.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804741-2.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804606-5.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804701-12.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/B1714735-2(2).JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1800884-2.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804589-23.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1800774-1.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/B1714184.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1803760｣ｨ2｣ｩ.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/B1714027.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/b1713990.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1805468｣ｨ2｣ｩ.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1800982-1.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/B1714055-1.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1614298.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1615838.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/B1714620(3).JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1800790-1.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1805772.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1800491-1.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1800938-2.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1805735｣ｨ5｣ｩ.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1800670-1.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1803784｣ｨ2｣ｩ.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1615346.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1615472｣ｨ2｣ｩ.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804604-6.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1800966-1.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804589-22.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1802906｣ｨ2｣ｩ.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1805627｣ｨ4｣ｩ.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/b1713968(3).JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/B1714643-3(3).JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/B1714722(2).JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804701-13.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/180458871.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/B1714580-1.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804606-4.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/B1714580-1(2).JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/49.JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/B1714007(1).JPG,EP
/Users/ruksatkhanshayoni/Downloads/7306361/histopathological image dataset for ET/EP/1804741-3.JPG,EP
